system:index,date,value,.geo
0,2018-04-01T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
1,2018-04-01T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
2,2018-04-01T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
3,2018-04-01T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
4,2018-04-01T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
5,2018-04-01T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
6,2018-04-01T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
7,2018-04-01T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
8,2018-04-01T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
9,2018-04-01T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
10,2018-04-01T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
11,2018-04-01T11:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
12,2018-04-01T12:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
13,2018-04-01T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
14,2018-04-01T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
15,2018-04-01T15:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
16,2018-04-01T16:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
17,2018-04-01T17:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
18,2018-04-01T18:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
19,2018-04-01T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
20,2018-04-01T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
21,2018-04-01T21:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
22,2018-04-01T22:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
23,2018-04-01T23:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
24,2018-04-02T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
25,2018-04-02T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
26,2018-04-02T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
27,2018-04-02T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
28,2018-04-02T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
29,2018-04-02T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
30,2018-04-02T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
31,2018-04-02T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
32,2018-04-02T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
33,2018-04-02T09:00:00,1.6771875619888306,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
34,2018-04-02T10:00:00,0.07895483076572418,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
35,2018-04-02T11:00:00,0.015426606871187687,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
36,2018-04-02T12:00:00,0.023237353190779686,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
37,2018-04-02T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
38,2018-04-02T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
39,2018-04-02T15:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
40,2018-04-02T16:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
41,2018-04-02T17:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
42,2018-04-02T18:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
43,2018-04-02T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.21666667,29.25]}"
