system:index,date,value,.geo
0,2018-04-01T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
1,2018-04-01T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
2,2018-04-01T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
3,2018-04-01T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
4,2018-04-01T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
5,2018-04-01T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
6,2018-04-01T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
7,2018-04-01T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
8,2018-04-01T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
9,2018-04-01T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
10,2018-04-01T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
11,2018-04-01T11:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
12,2018-04-01T12:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
13,2018-04-01T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
14,2018-04-01T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
15,2018-04-01T15:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
16,2018-04-01T16:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
17,2018-04-01T17:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
18,2018-04-01T18:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
19,2018-04-01T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
20,2018-04-01T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.0,28.5]}"
