system:index,date,value,.geo
0,2018-04-01T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
1,2018-04-01T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
2,2018-04-01T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
3,2018-04-01T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
4,2018-04-01T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
5,2018-04-01T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
6,2018-04-01T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
7,2018-04-01T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
8,2018-04-01T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
9,2018-04-01T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
10,2018-04-01T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
11,2018-04-01T11:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
12,2018-04-01T12:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
13,2018-04-01T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
14,2018-04-01T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
15,2018-04-01T15:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
16,2018-04-01T16:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
17,2018-04-01T17:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
18,2018-04-01T18:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
19,2018-04-01T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
20,2018-04-01T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
21,2018-04-01T21:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
22,2018-04-01T22:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
23,2018-04-01T23:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
24,2018-04-02T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
25,2018-04-02T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
26,2018-04-02T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
27,2018-04-02T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
28,2018-04-02T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
29,2018-04-02T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
30,2018-04-02T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
31,2018-04-02T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
32,2018-04-02T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
33,2018-04-02T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
34,2018-04-02T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
35,2018-04-02T11:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
36,2018-04-02T12:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
37,2018-04-02T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
38,2018-04-02T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
39,2018-04-02T15:00:00,4.405500411987305,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
40,2018-04-02T16:00:00,0.11929523944854736,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
41,2018-04-02T17:00:00,0.08162086457014084,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
42,2018-04-02T18:00:00,0.04216105490922928,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
43,2018-04-02T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
44,2018-04-02T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
45,2018-04-02T21:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
46,2018-04-02T22:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
47,2018-04-02T23:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
48,2018-04-03T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
49,2018-04-03T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
50,2018-04-03T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
51,2018-04-03T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
52,2018-04-03T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
53,2018-04-03T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
54,2018-04-03T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
55,2018-04-03T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
56,2018-04-03T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
57,2018-04-03T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
58,2018-04-03T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
59,2018-04-03T11:00:00,0.05369371175765991,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
60,2018-04-03T12:00:00,0.20204204320907593,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
61,2018-04-03T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
62,2018-04-03T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
63,2018-04-03T15:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
64,2018-04-03T16:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
65,2018-04-03T17:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
66,2018-04-03T18:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
67,2018-04-03T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
68,2018-04-03T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
69,2018-04-03T21:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
70,2018-04-03T22:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
71,2018-04-03T23:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
72,2018-04-04T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
73,2018-04-04T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
74,2018-04-04T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
75,2018-04-04T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
76,2018-04-04T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[84.55,28.55]}"
