system:index,date,value,.geo
0,2018-04-01T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
1,2018-04-01T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
2,2018-04-01T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
3,2018-04-01T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
4,2018-04-01T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
5,2018-04-01T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
6,2018-04-01T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
7,2018-04-01T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
8,2018-04-01T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
9,2018-04-01T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
10,2018-04-01T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
11,2018-04-01T11:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
12,2018-04-01T12:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
13,2018-04-01T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
14,2018-04-01T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
15,2018-04-01T15:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
16,2018-04-01T16:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
17,2018-04-01T17:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
18,2018-04-01T18:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
19,2018-04-01T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
20,2018-04-01T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
21,2018-04-01T21:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
22,2018-04-01T22:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
23,2018-04-01T23:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
24,2018-04-02T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
25,2018-04-02T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
26,2018-04-02T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
27,2018-04-02T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
28,2018-04-02T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
29,2018-04-02T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
30,2018-04-02T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
31,2018-04-02T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
32,2018-04-02T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[86.56666667,27.0]}"
