system:index,date,value,.geo
0,2018-04-01T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
1,2018-04-01T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
2,2018-04-01T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
3,2018-04-01T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
4,2018-04-01T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
5,2018-04-01T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
6,2018-04-01T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
7,2018-04-01T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
8,2018-04-01T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
9,2018-04-01T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
10,2018-04-01T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
11,2018-04-01T11:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
12,2018-04-01T12:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
13,2018-04-01T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
14,2018-04-01T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
15,2018-04-01T15:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
16,2018-04-01T16:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
17,2018-04-01T17:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
18,2018-04-01T18:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
19,2018-04-01T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
20,2018-04-01T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
21,2018-04-01T21:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
22,2018-04-01T22:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
23,2018-04-01T23:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
24,2018-04-02T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
25,2018-04-02T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
26,2018-04-02T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
27,2018-04-02T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
28,2018-04-02T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
29,2018-04-02T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
30,2018-04-02T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
31,2018-04-02T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
32,2018-04-02T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
33,2018-04-02T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
34,2018-04-02T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
35,2018-04-02T11:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
36,2018-04-02T12:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
37,2018-04-02T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
38,2018-04-02T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
39,2018-04-02T15:00:00,4.219049453735352,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
40,2018-04-02T16:00:00,0.05789890140295029,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
41,2018-04-02T17:00:00,0.03820255026221275,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
42,2018-04-02T18:00:00,0.025183090940117836,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
43,2018-04-02T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
44,2018-04-02T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
45,2018-04-02T21:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
46,2018-04-02T22:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
47,2018-04-02T23:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
48,2018-04-03T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
49,2018-04-03T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
50,2018-04-03T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
51,2018-04-03T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
52,2018-04-03T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
53,2018-04-03T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
54,2018-04-03T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
55,2018-04-03T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
56,2018-04-03T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
57,2018-04-03T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
58,2018-04-03T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
59,2018-04-03T11:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
60,2018-04-03T12:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
61,2018-04-03T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
62,2018-04-03T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
63,2018-04-03T15:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
64,2018-04-03T16:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
65,2018-04-03T17:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
66,2018-04-03T18:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
67,2018-04-03T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
68,2018-04-03T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
69,2018-04-03T21:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
70,2018-04-03T22:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
71,2018-04-03T23:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
72,2018-04-04T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
73,2018-04-04T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
74,2018-04-04T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
75,2018-04-04T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
76,2018-04-04T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
77,2018-04-04T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
78,2018-04-04T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
79,2018-04-04T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
80,2018-04-04T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
81,2018-04-04T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
82,2018-04-04T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
83,2018-04-04T11:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
84,2018-04-04T12:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
85,2018-04-04T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
86,2018-04-04T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
87,2018-04-04T15:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
88,2018-04-04T16:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
89,2018-04-04T17:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
90,2018-04-04T18:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
91,2018-04-04T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
92,2018-04-04T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
93,2018-04-04T21:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
94,2018-04-04T22:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
95,2018-04-04T23:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
96,2018-04-05T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
97,2018-04-05T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
98,2018-04-05T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
99,2018-04-05T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
100,2018-04-05T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
101,2018-04-05T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
102,2018-04-05T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
103,2018-04-05T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
104,2018-04-05T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
105,2018-04-05T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[83.46666667,28.65]}"
