system:index,date,value,.geo
0,2018-04-01T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
1,2018-04-01T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
2,2018-04-01T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
3,2018-04-01T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
4,2018-04-01T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
5,2018-04-01T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
6,2018-04-01T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
7,2018-04-01T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
8,2018-04-01T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
9,2018-04-01T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
10,2018-04-01T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
11,2018-04-01T11:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
12,2018-04-01T12:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
13,2018-04-01T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
14,2018-04-01T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
15,2018-04-01T15:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
16,2018-04-01T16:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
17,2018-04-01T17:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
18,2018-04-01T18:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
19,2018-04-01T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
20,2018-04-01T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
21,2018-04-01T21:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
22,2018-04-01T22:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
23,2018-04-01T23:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
24,2018-04-02T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
25,2018-04-02T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
26,2018-04-02T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
27,2018-04-02T03:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
28,2018-04-02T04:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
29,2018-04-02T05:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
30,2018-04-02T06:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
31,2018-04-02T07:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
32,2018-04-02T08:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
33,2018-04-02T09:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
34,2018-04-02T10:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
35,2018-04-02T11:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
36,2018-04-02T12:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
37,2018-04-02T13:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
38,2018-04-02T14:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
39,2018-04-02T15:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
40,2018-04-02T16:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
41,2018-04-02T17:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
42,2018-04-02T18:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
43,2018-04-02T19:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
44,2018-04-02T20:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
45,2018-04-02T21:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
46,2018-04-02T22:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
47,2018-04-02T23:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
48,2018-04-03T00:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
49,2018-04-03T01:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
50,2018-04-03T02:00:00,0.0,"{""type"":""Point"",""coordinates"":[82.5,29.75]}"
